"gene","spearman_rho","p_value","fdr"
"CCL5",0.780313588850174,1.79734213917508e-09,1.15072836821793e-07
"TMEM156",0.780122354028629,1.82468652563961e-09,1.16426171885964e-07
"ADAM28",0.779442508710802,1.92507646249659e-09,1.22415285966012e-07
"TRAT1",0.779229842810419,1.95752461278738e-09,1.240581223354e-07
"GAB3",0.779094076655052,1.97850605040153e-09,1.24546291944571e-07
"HSH2D",0.778910749323459,2.00717120303407e-09,1.2550841532572e-07
"CCR7",0.778866676116648,2.01412013193146e-09,1.25524516793695e-07
"ADORA2A",0.778745644599303,2.03331871143376e-09,1.25884573293022e-07
"SLC9A9",0.778745644599303,2.03331871143376e-09,1.25884573293022e-07
"CARD11",0.777700348432056,2.20639058946643e-09,1.36150266670397e-07
"MS4A4A",0.777526132404181,2.23654037988301e-09,1.37108696033416e-07
"TMC8",0.777526132404181,2.23654037988301e-09,1.37108696033416e-07
"CD7",0.7771580983249,2.30150207230928e-09,1.40631522392345e-07
"EVL",0.776655052264809,2.39314924701031e-09,1.45756775080085e-07
"GZMA",0.776132404181185,2.49197076163483e-09,1.51284399733035e-07
"PIK3CG",0.77595818815331,2.52574944231568e-09,1.52840431575484e-07
"SIGLEC1",0.775783972125436,2.5599554312231e-09,1.54412231300045e-07
"EFHD2",0.775609756097561,2.59459374056148e-09,1.54514234854581e-07
"SIGLEC9",0.775609756097561,2.59459374056148e-09,1.54514234854581e-07
"SLC8A1",0.775609756097561,2.59459374056148e-09,1.54514234854581e-07
"VCAM1",0.775609756097561,2.59459374056148e-09,1.54514234854581e-07
"BCL2L14",0.775317180818949,2.65375135994891e-09,1.57307435216671e-07
"APOBEC3H",0.775295091985032,2.65826840256328e-09,1.57307435216671e-07
"ZBP1",0.775238083854924,2.6699594513119e-09,1.57502419330692e-07
"CCR1",0.774738675958188,2.77444933597875e-09,1.63153276155565e-07
"CD27",0.774564459930314,2.8117898898213e-09,1.64832395447368e-07
"IL2RA",0.774390243902439,2.84959939368839e-09,1.66011288901244e-07
"SERPINB9",0.774390243902439,2.84959939368839e-09,1.66011288901244e-07
"IGFLR1",0.773693379790941,3.00563698839472e-09,1.7455957976872e-07
"COTL1",0.773519163763066,3.04587431912548e-09,1.761005681896e-07
"FUT7",0.77349736016916,3.05094539483022e-09,1.761005681896e-07
"CSF3R",0.773344947735192,3.08661424780553e-09,1.76529867910317e-07
"DOCK11",0.773344947735192,3.08661424780553e-09,1.76529867910317e-07
"LMO2",0.773344947735192,3.08661424780553e-09,1.76529867910317e-07
"CD8A",0.773170731707317,3.12786259375015e-09,1.78345210930574e-07
"CD300C",0.77281053087944,3.21478335824415e-09,1.82745821264552e-07
"AMIGO2",0.772299651567944,3.34193862861049e-09,1.87698882437437e-07
"DOK3",0.772299651567944,3.34193862861049e-09,1.87698882437437e-07
"FAM49A",0.771951219512195,3.43133868270657e-09,1.9214472342953e-07
"CXCR4",0.771777003484321,3.47687142323461e-09,1.93538964476137e-07
"LILRB3",0.771777003484321,3.47687142323461e-09,1.93538964476137e-07
"GNA15",0.771428571428572,3.56963432634744e-09,1.9753029595266e-07
"TC2N",0.771428571428572,3.56963432634744e-09,1.9753029595266e-07
"ELL2",0.771254355400697,3.61687748997809e-09,1.99555896572056e-07
"ALDH2",0.770731707317073,3.76213328113603e-09,2.06961461058155e-07
"RGS19",0.769686411149826,4.06912815953093e-09,2.22763432548653e-07
"GCSAM",0.769673275679659,4.0731306233908e-09,2.22763432548653e-07
"PSMB9",0.768641114982578,4.39938324342849e-09,2.39211681923116e-07
"UNC13D",0.768641114982578,4.39938324342849e-09,2.39211681923116e-07
"DUSP1",0.768118466898955,4.5737372907554e-09,2.47258610482077e-07
"PRDM1",0.768118466898955,4.5737372907554e-09,2.47258610482077e-07
"JAML",0.767770034843206,4.69353354199549e-09,2.53005734811188e-07
"ARRB2",0.767247386759582,4.8787299571236e-09,2.61485986473376e-07
"SELL",0.767073170731707,4.94196240292372e-09,2.6412043508959e-07
"NNMT",0.766898954703833,5.00595904238068e-09,2.66780641125055e-07
"RAB20",0.765331010452962,5.61775835400769e-09,2.97693584640763e-07
"FASLG",0.765290131847799,5.63460470923921e-09,2.97745210536953e-07
"PECAM1",0.764459930313589,5.9871063622848e-09,3.15483506320507e-07
